UNIX Timestamp,ECG,HR,RR,Marker,datetime_utc,datetime_local,elapsed_seconds
1776408532484082266,0.152,75.0,,,2026-04-17 06:48:52.484082 UTC,2026-04-17 06:48:52.484082,0.0
1776408532491774056,0.309,,,,2026-04-17 06:48:52.491774 UTC,2026-04-17 06:48:52.491774,0.00769179
1776408532499465846,0.213,,,,2026-04-17 06:48:52.499465 UTC,2026-04-17 06:48:52.499465,0.01538358
1776408532507157636,0.238,,,,2026-04-17 06:48:52.507157 UTC,2026-04-17 06:48:52.507157,0.02307537
1776408532514849426,0.296,,,,2026-04-17 06:48:52.514849 UTC,2026-04-17 06:48:52.514849,0.03076716
1776408532522541216,0.255,,,,2026-04-17 06:48:52.522541 UTC,2026-04-17 06:48:52.522541,0.03845895
1776408532530233006,0.247,,,,2026-04-17 06:48:52.530233 UTC,2026-04-17 06:48:52.530233,0.04615074
1776408532537924796,0.277,,,,2026-04-17 06:48:52.537924 UTC,2026-04-17 06:48:52.537924,0.05384253
1776408532545616586,0.287,,,,2026-04-17 06:48:52.545616 UTC,2026-04-17 06:48:52.545616,0.06153432
1776408532553308376,0.294,,,,2026-04-17 06:48:52.553308 UTC,2026-04-17 06:48:52.553308,0.06922611
1776408532561000166,0.296,,,,2026-04-17 06:48:52.561000 UTC,2026-04-17 06:48:52.561000,0.0769179
1776408532568691956,0.289,,,,2026-04-17 06:48:52.568691 UTC,2026-04-17 06:48:52.568691,0.08460969
1776408532576383746,0.301,,,,2026-04-17 06:48:52.576383 UTC,2026-04-17 06:48:52.576383,0.09230148
1776408532584075536,0.321,,,,2026-04-17 06:48:52.584075 UTC,2026-04-17 06:48:52.584075,0.09999327
1776408532591767326,0.336,,,,2026-04-17 06:48:52.591767 UTC,2026-04-17 06:48:52.591767,0.10768506
1776408532599459116,0.336,,,,2026-04-17 06:48:52.599459 UTC,2026-04-17 06:48:52.599459,0.11537685
1776408532607150906,0.341,,,,2026-04-17 06:48:52.607150 UTC,2026-04-17 06:48:52.607150,0.12306864
1776408532614842696,0.358,,,,2026-04-17 06:48:52.614842 UTC,2026-04-17 06:48:52.614842,0.13076043
1776408532622534486,0.382,,,,2026-04-17 06:48:52.622534 UTC,2026-04-17 06:48:52.622534,0.13845222
1776408532630226276,0.399,,,,2026-04-17 06:48:52.630226 UTC,2026-04-17 06:48:52.630226,0.14614401
1776408532637918066,0.399,,,,2026-04-17 06:48:52.637918 UTC,2026-04-17 06:48:52.637918,0.1538358
1776408532645609856,0.399,,,,2026-04-17 06:48:52.645609 UTC,2026-04-17 06:48:52.645609,0.16152759
1776408532653301646,0.392,,,,2026-04-17 06:48:52.653301 UTC,2026-04-17 06:48:52.653301,0.16921938
1776408532660993436,0.358,,,,2026-04-17 06:48:52.660993 UTC,2026-04-17 06:48:52.660993,0.17691117
1776408532668685226,0.331,,,,2026-04-17 06:48:52.668685 UTC,2026-04-17 06:48:52.668685,0.18460296
1776408532676377016,0.306,,,,2026-04-17 06:48:52.676377 UTC,2026-04-17 06:48:52.676377,0.19229475
1776408532684068806,0.264,,,,2026-04-17 06:48:52.684068 UTC,2026-04-17 06:48:52.684068,0.19998654
1776408532691760596,0.223,,,,2026-04-17 06:48:52.691760 UTC,2026-04-17 06:48:52.691760,0.20767833
1776408532699452386,0.179,,,,2026-04-17 06:48:52.699452 UTC,2026-04-17 06:48:52.699452,0.21537012
1776408532707144176,0.122,,,,2026-04-17 06:48:52.707144 UTC,2026-04-17 06:48:52.707144,0.22306191
1776408532714835966,0.085,,,,2026-04-17 06:48:52.714835 UTC,2026-04-17 06:48:52.714835,0.2307537
1776408532722527756,0.063,,,,2026-04-17 06:48:52.722527 UTC,2026-04-17 06:48:52.722527,0.23844549
1776408532730219546,0.036,,,,2026-04-17 06:48:52.730219 UTC,2026-04-17 06:48:52.730219,0.24613728
1776408532737911336,-0.002,,,,2026-04-17 06:48:52.737911 UTC,2026-04-17 06:48:52.737911,0.25382907
1776408532745603126,-0.019,,,,2026-04-17 06:48:52.745603 UTC,2026-04-17 06:48:52.745603,0.26152086
1776408532753294916,-0.004,,,,2026-04-17 06:48:52.753294 UTC,2026-04-17 06:48:52.753294,0.26921265
1776408532760986706,0.0,,,,2026-04-17 06:48:52.760986 UTC,2026-04-17 06:48:52.760986,0.27690444
1776408532768678496,-0.014,,,,2026-04-17 06:48:52.768678 UTC,2026-04-17 06:48:52.768678,0.28459623
1776408532776370286,-0.022,,,,2026-04-17 06:48:52.776370 UTC,2026-04-17 06:48:52.776370,0.29228802
1776408532784062076,-0.022,,,,2026-04-17 06:48:52.784062 UTC,2026-04-17 06:48:52.784062,0.29997981
1776408532791753866,-0.022,,,,2026-04-17 06:48:52.791753 UTC,2026-04-17 06:48:52.791753,0.3076716
1776408532799445656,-0.017,,,,2026-04-17 06:48:52.799445 UTC,2026-04-17 06:48:52.799445,0.31536339
1776408532807137446,-0.009,,,,2026-04-17 06:48:52.807137 UTC,2026-04-17 06:48:52.807137,0.32305518
1776408532814829236,0.0,,,,2026-04-17 06:48:52.814829 UTC,2026-04-17 06:48:52.814829,0.33074697
1776408532822521026,0.012,,,,2026-04-17 06:48:52.822521 UTC,2026-04-17 06:48:52.822521,0.33843876
1776408532830212816,0.019,,,,2026-04-17 06:48:52.830212 UTC,2026-04-17 06:48:52.830212,0.34613055
1776408532837904606,0.014,,,,2026-04-17 06:48:52.837904 UTC,2026-04-17 06:48:52.837904,0.35382234
1776408532845596396,0.017,,,,2026-04-17 06:48:52.845596 UTC,2026-04-17 06:48:52.845596,0.36151413
1776408532853288186,0.022,,,,2026-04-17 06:48:52.853288 UTC,2026-04-17 06:48:52.853288,0.36920592
1776408532860979976,0.022,,,,2026-04-17 06:48:52.860979 UTC,2026-04-17 06:48:52.860979,0.37689771
1776408532868671766,0.022,,,,2026-04-17 06:48:52.868671 UTC,2026-04-17 06:48:52.868671,0.3845895
1776408532876363556,0.017,,,,2026-04-17 06:48:52.876363 UTC,2026-04-17 06:48:52.876363,0.39228129
1776408532884055346,0.0,,,,2026-04-17 06:48:52.884055 UTC,2026-04-17 06:48:52.884055,0.39997308
1776408532891747136,-0.002,,,,2026-04-17 06:48:52.891747 UTC,2026-04-17 06:48:52.891747,0.40766487
1776408532899438926,0.004,,,,2026-04-17 06:48:52.899438 UTC,2026-04-17 06:48:52.899438,0.41535666
1776408532907130716,0.004,,,,2026-04-17 06:48:52.907130 UTC,2026-04-17 06:48:52.907130,0.42304845
1776408532914822506,0.0,,,,2026-04-17 06:48:52.914822 UTC,2026-04-17 06:48:52.914822,0.43074024
1776408532922514296,0.002,,,,2026-04-17 06:48:52.922514 UTC,2026-04-17 06:48:52.922514,0.43843203
1776408532930206086,0.009,,,,2026-04-17 06:48:52.930206 UTC,2026-04-17 06:48:52.930206,0.44612382
1776408532937897876,0.002,,,,2026-04-17 06:48:52.937897 UTC,2026-04-17 06:48:52.937897,0.45381561
1776408532945589666,-0.004,,,,2026-04-17 06:48:52.945589 UTC,2026-04-17 06:48:52.945589,0.4615074
1776408532953281456,0.0,,,,2026-04-17 06:48:52.953281 UTC,2026-04-17 06:48:52.953281,0.46919919
1776408532960973246,0.007,,,,2026-04-17 06:48:52.960973 UTC,2026-04-17 06:48:52.960973,0.47689098
1776408532968665036,0.017,,,,2026-04-17 06:48:52.968665 UTC,2026-04-17 06:48:52.968665,0.48458277
1776408532976356826,0.019,,,,2026-04-17 06:48:52.976356 UTC,2026-04-17 06:48:52.976356,0.49227456
1776408532984048616,0.019,,,,2026-04-17 06:48:52.984048 UTC,2026-04-17 06:48:52.984048,0.49996635
1776408532991740406,0.022,,,,2026-04-17 06:48:52.991740 UTC,2026-04-17 06:48:52.991740,0.50765814
1776408532999432196,0.026,,,,2026-04-17 06:48:52.999432 UTC,2026-04-17 06:48:52.999432,0.51534993
1776408533007123986,0.022,,,,2026-04-17 06:48:53.007123 UTC,2026-04-17 06:48:53.007123,0.52304172
1776408533014815776,0.002,,,,2026-04-17 06:48:53.014815 UTC,2026-04-17 06:48:53.014815,0.53073351
1776408533022507566,0.002,,777.0,,2026-04-17 06:48:53.022507 UTC,2026-04-17 06:48:53.022507,0.5384253
1776408533030199356,0.041,,,,2026-04-17 06:48:53.030199 UTC,2026-04-17 06:48:53.030199,0.54611709
1776408533037891146,0.066,,,,2026-04-17 06:48:53.037891 UTC,2026-04-17 06:48:53.037891,0.55380888
1776408533045582948,0.049,,,,2026-04-17 06:48:53.045582 UTC,2026-04-17 06:48:53.045582,0.561500682
1776408533053274807,0.034,,,,2026-04-17 06:48:53.053274 UTC,2026-04-17 06:48:53.053274,0.569192541
1776408533060966666,0.039,,,,2026-04-17 06:48:53.060966 UTC,2026-04-17 06:48:53.060966,0.5768844
1776408533068658525,0.061,,,,2026-04-17 06:48:53.068658 UTC,2026-04-17 06:48:53.068658,0.584576259
1776408533076350384,0.093,,,,2026-04-17 06:48:53.076350 UTC,2026-04-17 06:48:53.076350,0.592268118
1776408533084042243,0.103,,,,2026-04-17 06:48:53.084042 UTC,2026-04-17 06:48:53.084042,0.599959977
1776408533091734102,0.098,,,,2026-04-17 06:48:53.091734 UTC,2026-04-17 06:48:53.091734,0.607651836
1776408533099425961,0.098,,,,2026-04-17 06:48:53.099425 UTC,2026-04-17 06:48:53.099425,0.615343695
1776408533107117820,0.078,,,,2026-04-17 06:48:53.107117 UTC,2026-04-17 06:48:53.107117,0.623035554
1776408533114809679,0.039,,,,2026-04-17 06:48:53.114809 UTC,2026-04-17 06:48:53.114809,0.630727413
1776408533122501538,0.029,,,,2026-04-17 06:48:53.122501 UTC,2026-04-17 06:48:53.122501,0.638419272
1776408533130193397,0.044,,,,2026-04-17 06:48:53.130193 UTC,2026-04-17 06:48:53.130193,0.646111131
1776408533137885256,0.049,,,,2026-04-17 06:48:53.137885 UTC,2026-04-17 06:48:53.137885,0.65380299
1776408533145577115,0.051,,,,2026-04-17 06:48:53.145577 UTC,2026-04-17 06:48:53.145577,0.661494849
1776408533153268974,0.056,,,,2026-04-17 06:48:53.153268 UTC,2026-04-17 06:48:53.153268,0.669186708
