time,ecg,hr,rr,marker,norm_time
1747018350024859629,-0.051,73.0,880.0,,0.0
1747018350032561173,-0.051,,,,0.0007701544
1747018350040262717,-0.053,,,,0.0015403088
1747018350047964261,-0.051,,,,0.0023104632
1747018350055665805,-0.049,,,,0.0030806176
1747018350063367349,-0.046,,,,0.003850772
1747018350071068893,-0.044,,,,0.0046209264
1747018350078770437,-0.046,,,,0.0053910808
1747018350086471981,-0.049,,,,0.0061612352
1747018350094173525,-0.041,,,,0.0069313896
1747018350101875069,-0.049,,,,0.007701544
1747018350109576613,-0.051,,,,0.0084716984
1747018350117278157,-0.041,,,,0.0092418528
1747018350124979701,-0.046,,,,0.0100120072
1747018350132681245,-0.051,,,,0.0107821616
1747018350140382789,-0.049,,,,0.011552316
1747018350148084333,-0.044,,,,0.0123224704
1747018350155785877,-0.036,,,,0.0130926248
1747018350163487421,-0.049,,,,0.0138627792
1747018350171188965,-0.053,,,,0.0146329336
1747018350178890509,-0.044,,,,0.015403088
1747018350186592053,-0.041,,,,0.0161732424
1747018350194293597,-0.046,,,,0.0169433968
1747018350201995141,-0.049,,,,0.0177135512
1747018350209696685,-0.041,,,,0.0184837056
1747018350217398229,-0.036,,,,0.01925386
1747018350225099773,-0.051,,,,0.0200240144
1747018350232801317,-0.056,,,,0.0207941688
1747018350240502861,-0.031,,,,0.0215643232
1747018350248204405,-0.039,,,,0.0223344776
1747018350255905949,-0.073,,,,0.023104632
1747018350263607493,-0.066,,,,0.0238747864
1747018350271309037,-0.039,,,,0.0246449408
1747018350279010581,-0.049,,,,0.0254150952
1747018350286712125,-0.046,,,,0.0261852496
1747018350294413669,-0.034,,,,0.026955404
1747018350302115213,-0.053,,,,0.0277255584
1747018350309816757,-0.063,,,,0.0284957128
1747018350317518301,-0.049,,,,0.0292658672
1747018350325219845,-0.051,,,,0.0300360216
1747018350332921389,-0.056,,,,0.030806176
1747018350340622933,-0.046,,,,0.0315763304
1747018350348324477,-0.046,,,,0.0323464848
1747018350356026021,-0.053,,,,0.0331166392
1747018350363727565,-0.056,,,,0.0338867936
1747018350371429109,-0.046,,,,0.034656948
1747018350379130653,0.002,,,,0.0354271024
1747018350386832197,0.176,,,,0.0361972568
1747018350394533741,0.483,,,,0.0369674112
1747018350402235285,0.608,,,,0.0377375656
1747018350409936829,0.215,,,,0.03850772
1747018350417638373,-0.25,,,,0.0392778744
1747018350425339917,-0.191,,,,0.0400480288
1747018350433041461,-0.026,,,,0.0408181832
1747018350440743005,-0.142,,,,0.0415883376
1747018350448444549,-0.184,,,,0.042358492
1747018350456146093,-0.098,,,,0.0431286464
1747018350463847637,-0.1,,,,0.0438988008
1747018350471549181,-0.12,,,,0.0446689552
1747018350479250725,-0.095,,,,0.0454391096
1747018350486952269,-0.095,,,,0.046209264
1747018350494653813,-0.1,,,,0.0469794184
1747018350502355357,-0.09,,,,0.0477495728
1747018350510056901,-0.085,,,,0.0485197272
1747018350517758445,-0.083,,,,0.0492898816
1747018350525459989,-0.08,,,,0.050060036
1747018350533161533,-0.068,,,,0.0508301904
1747018350540863077,-0.068,,,,0.0516003448
1747018350548564621,-0.078,,,,0.0523704992
1747018350556266165,-0.068,,,,0.0531406536
1747018350563967709,-0.053,,,,0.053910808
1747018350571669253,-0.051,,,,0.0546809624
1747018350579370797,-0.046,,,,0.0554511168
1747018350587072397,-0.044,,,,0.0562212768
1747018350594773941,-0.036,,,,0.0569914312
1747018350602475485,-0.034,,,,0.0577615856
1747018350610177029,-0.034,,,,0.05853174
1747018350617878573,-0.014,,,,0.0593018944
1747018350625580117,0.007,,,,0.0600720488
1747018350633281661,0.017,,,,0.0608422032
1747018350640983205,0.014,,,,0.0616123576
1747018350648684749,0.024,,,,0.062382512
1747018350656386293,0.056,,,,0.0631526664
1747018350664087837,0.063,,,,0.0639228208
1747018350671789381,0.051,,,,0.0646929752
