time,ecg,hr,rr,marker,norm_time
1740465463201774113,0.055,60.0,1054.0,,0.0
1740465463209477399,0.033,,,,0.0007703286
1740465463217180685,0.0,,,,0.0015406572
1740465463224883971,-0.043,,,,0.0023109858
1740465463232587257,-0.087,,,,0.0030813144
1740465463240290543,-0.128,,,,0.003851643
1740465463247993829,-0.159,,,,0.0046219716
1740465463255697115,-0.179,,,,0.0053923002
1740465463263400401,-0.193,,,,0.0061626288
1740465463271103687,-0.196,,,,0.0069329574
1740465463278806973,-0.191,,,,0.007703286
1740465463286510259,-0.186,,,,0.0084736146
1740465463294213545,-0.179,,,,0.0092439432
1740465463301916831,-0.167,,,,0.0100142718
1740465463309620117,-0.159,,,,0.0107846004
1740465463317323403,-0.15,,,,0.011554929
1740465463325026689,-0.142,,,,0.0123252576
1740465463332729975,-0.133,,,,0.0130955862
1740465463340433261,-0.123,,,,0.0138659148
1740465463348136547,-0.113,,,,0.0146362434
1740465463355839833,-0.106,,,,0.015406572
1740465463363543119,-0.104,,,,0.0161769006
1740465463371246405,-0.099,,,,0.0169472292
1740465463378949691,-0.096,,,,0.0177175578
1740465463386652977,-0.094,,,,0.0184878864
1740465463394356263,-0.094,,,,0.019258215
1740465463402059549,-0.096,,,,0.0200285436
1740465463409762835,-0.096,,,,0.0207988722
1740465463417466121,-0.096,,,,0.0215692008
1740465463425169407,-0.096,,,,0.0223395294
1740465463432872693,-0.101,,,,0.023109858
1740465463440575979,-0.101,,,,0.0238801866
1740465463448279265,-0.104,,,,0.0246505152
1740465463455982551,-0.104,,,,0.0254208438
1740465463463685837,-0.104,,,,0.0261911724
1740465463471389123,-0.104,,,,0.026961501
1740465463479092409,-0.106,,,,0.0277318296
1740465463486795695,-0.106,,,,0.0285021582
1740465463494498981,-0.104,,,,0.0292724868
1740465463502202267,-0.106,,,,0.0300428154
1740465463509905553,-0.104,,,,0.030813144
1740465463517608839,-0.099,,,,0.0315834726
1740465463525312125,-0.101,,,,0.0323538012
1740465463533015411,-0.101,,,,0.0331241298
1740465463540718697,-0.099,,,,0.0338944584
1740465463548421983,-0.099,,,,0.034664787
1740465463556125269,-0.096,,,,0.0354351156
1740465463563828555,-0.096,,,,0.0362054442
1740465463571531841,-0.092,,,,0.0369757728
1740465463579235127,-0.089,,,,0.0377461014
1740465463586938413,-0.092,,,,0.03851643
1740465463594641699,-0.094,,,,0.0392867586
1740465463602344985,-0.094,,,,0.0400570872
1740465463610048271,-0.092,,,,0.0408274158
1740465463617751557,-0.092,,,,0.0415977444
1740465463625454843,-0.092,,,,0.042368073
1740465463633158129,-0.089,,,,0.0431384016
1740465463640861415,-0.089,,,,0.0439087302
1740465463648564701,-0.089,,,,0.0446790588
1740465463656267987,-0.089,,,,0.0454493874
1740465463663971273,-0.087,,,,0.046219716
1740465463671674559,-0.084,,,,0.0469900446
1740465463679377845,-0.087,,,,0.0477603732
1740465463687081131,-0.089,,,,0.0485307018
1740465463694784417,-0.087,,,,0.0493010304
1740465463702487703,-0.077,,,,0.050071359
1740465463710190989,-0.07,,,,0.0508416876
1740465463717894275,-0.062,,,,0.0516120162
1740465463725597561,-0.06,,,,0.0523823448
1740465463733300847,-0.07,,,,0.0531526734
1740465463741004133,-0.084,,,,0.053923002
1740465463748707419,-0.094,,,,0.0546933306
1740465463756410705,-0.089,,,,0.0554636592
1740465463764114044,-0.087,,,,0.0562339931
1740465463771817609,-0.089,,,,0.0570043496
1740465463779521174,-0.089,,,,0.0577747061
1740465463787224739,-0.087,,,,0.0585450626
1740465463794928304,-0.087,,,,0.0593154191
1740465463802631869,-0.087,,,,0.0600857756
1740465463810335434,-0.087,,,,0.0608561321
1740465463818038999,-0.084,,,,0.0616264886
1740465463825742564,-0.082,,,,0.0623968451
1740465463833446129,-0.087,,,,0.0631672016
1740465463841149694,-0.104,,,,0.0639375581
1740465463848853259,-0.092,,,,0.0647079146
1740465463856556824,0.036,,,,0.0654782711
1740465463864260389,0.266,,,,0.0662486276
1740465463871963954,0.472,,,,0.0670189841
1740465463879667519,0.687,,,,0.0677893406
1740465463887371084,0.76,,,,0.0685596971
1740465463895074649,0.232,,,,0.0693300536
1740465463902778214,-0.464,,,,0.0701004101
1740465463910481779,-0.447,,,,0.0708707666
1740465463918185344,-0.118,,,,0.0716411231
1740465463925888909,-0.128,,,,0.0724114796
