time,ecg,hr,rr,marker,norm_time
1740460275789454625,3.408,0.0,,,0.0
1740460275797162092,3.4250000000000003,,,,0.0007707467
1740460275804869559,3.378,,,,0.0015414934
1740460275812577026,3.408,,,,0.0023122401
1740460275820284493,3.408,,,,0.0030829868
1740460275827991960,3.341,,,,0.0038537335
1740460275835699427,3.393,,,,0.0046244802
1740460275843406894,3.339,,,,0.0053952269
1740460275851114361,3.307,,,,0.0061659736
1740460275858821828,3.329,,,,0.0069367203
1740460275866529295,3.231,,,,0.007707467
1740460275874236762,3.278,,,,0.0084782137
1740460275881944229,3.285,,,,0.0092489604
1740460275889651696,3.221,,,,0.0100197071
1740460275897359163,3.273,,,,0.0107904538
1740460275905066630,3.206,,,,0.0115612005
1740460275912774097,3.206,,,,0.0123319472
1740460275920481564,3.241,,,,0.0131026939
1740460275928189031,3.177,,,,0.0138734406
1740460275935896498,3.236,,,,0.0146441873
1740460275943603965,3.231,,,,0.015414934
1740460275951311432,3.197,,,,0.0161856807
1740460275959018899,3.241,,,,0.0169564274
1740460275966726366,3.201,,,,0.0177271741
1740460275974433833,3.197,,,,0.0184979208
1740460275982141300,3.201,,,,0.0192686675
1740460275989848767,3.17,,,,0.0200394142
1740460275997556234,3.1790000000000003,,,,0.0208101609
1740460276005263701,3.15,,,,0.0215809076
1740460276012971168,3.143,,,,0.0223516543
1740460276020678635,3.147,,,,0.023122401
1740460276028386102,3.111,,,,0.0238931477
1740460276036093569,3.111,,,,0.0246638944
1740460276043801036,3.091,,,,0.0254346411
1740460276051508503,3.074,,,,0.0262053878
1740460276059215970,3.076,,,,0.0269761345
1740460276066923437,3.049,,,,0.0277468812
1740460276074630904,3.035,,,,0.0285176279
1740460276082338371,3.022,,,,0.0292883746
1740460276090045838,3.074,,,,0.0300591213
1740460276097753305,3.192,,,,0.030829868
1740460276105460772,3.211,,,,0.0316006147
1740460276113168239,3.069,,,,0.0323713614
1740460276120875706,2.821,,,,0.0331421081
1740460276128583173,2.654,,,,0.0339128548
1740460276136290640,2.762,,,,0.0346836015
1740460276143998107,2.927,,,,0.0354543482
1740460276151705574,2.905,,,,0.0362250949
1740460276159413041,2.836,,,,0.0369958416
1740460276167120508,2.831,,,,0.0377665883
1740460276174827975,2.8040000000000003,,,,0.038537335
1740460276182535442,2.772,,,,0.0393080817
1740460276190242909,2.782,,,,0.0400788284
1740460276197950376,2.7840000000000003,,,,0.0408495751
1740460276205657843,2.779,,,,0.0416203218
1740460276213365310,2.772,,,,0.0423910685
1740460276221072777,2.76,,,,0.0431618152
1740460276228780244,2.782,,,,0.0439325619
1740460276236487711,2.799,,,,0.0447033086
1740460276244195178,2.7840000000000003,,,,0.0454740553
1740460276251902645,2.77,,,,0.046244802
1740460276259610112,2.755,,,,0.0470155487
1740460276267317579,2.75,,,,0.0477862954
1740460276275025046,2.748,,,,0.0485570421
1740460276282732513,2.716,,,,0.0493277888
1740460276290439980,2.686,,,,0.0500985355
1740460276298147447,2.676,,,,0.0508692822
1740460276305854914,2.6710000000000003,,,,0.0516400289
1740460276313562381,2.652,,,,0.0524107756
1740460276321269848,2.62,,,,0.0531815223
1740460276328977315,2.608,,,,0.053952269
1740460276336684782,2.595,,,,0.0547230157
1740460276344392249,2.566,,,,0.0554937624
1740460276352099732,2.537,,,,0.0562645107
1740460276359807617,2.5340000000000003,,,,0.0570352992
1740460276367515502,2.5460000000000003,,,,0.0578060877
1740460276375223387,2.524,,,,0.0585768762
1740460276382931272,2.497,,,,0.0593476647
1740460276390639157,2.514,,,,0.0601184532
1740460276398347042,2.522,,,,0.0608892417
1740460276406054927,2.502,,,,0.0616600302
1740460276413762812,2.492,,,,0.0624308187
1740460276421470697,2.514,,,,0.0632016072
1740460276429178582,2.551,,,,0.0639723957
1740460276436886467,2.551,,,,0.0647431842
1740460276444594352,2.532,,,,0.0655139727
1740460276452302237,2.529,,,,0.0662847612
1740460276460010122,2.514,,,,0.0670555497
1740460276467718007,2.46,,,,0.0678263382
1740460276475425892,2.402,,,,0.0685971267
1740460276483133777,2.387,,,,0.0693679152
1740460276490841662,2.436,,,,0.0701387037
1740460276498549547,2.492,,,,0.0709094922
1740460276506257432,2.478,,,,0.0716802807
1740460276513965317,2.448,,,,0.0724510692
1740460276521673202,2.483,,,,0.0732218577
1740460276529381087,2.497,,,,0.0739926462
1740460276537088972,2.456,,,,0.0747634347
1740460276544796857,2.441,,,,0.0755342232
1740460276552504742,2.414,,,,0.0763050117
1740460276560212627,2.36,,,,0.0770758002
1740460276567920512,2.367,,,,0.0778465887
1740460276575628397,2.353,,,,0.0786173772
1740460276583336282,2.316,,,,0.0793881657
1740460276591044167,2.308,,,,0.0801589542
1740460276598752052,2.2840000000000003,,,,0.0809297427
1740460276606459937,2.279,,,,0.0817005312
1740460276614167822,2.306,,,,0.0824713197
1740460276621875707,2.35,,,,0.0832421082
1740460276629583592,2.402,,,,0.0840128967
1740460276637291477,2.4090000000000003,,,,0.0847836852
1740460276644999362,2.4210000000000003,,,,0.0855544737
1740460276652707247,2.397,,,,0.0863252622
1740460276660415132,2.313,,,,0.0870960507
1740460276668123017,2.274,,,,0.0878668392
1740460276675830902,2.259,,,,0.0886376277
1740460276683538787,2.237,,,,0.0894084162
1740460276691246672,2.252,,,,0.0901792047
1740460276698954557,2.345,,,,0.0909499932
1740460276706662442,2.451,,,,0.0917207817
1740460276714370327,2.392,,,,0.0924915702
1740460276722078212,2.188,,,,0.0932623587
1740460276729786097,1.989,,,,0.0940331472
1740460276737493982,1.955,,,,0.0948039357
1740460276745201867,2.122,,,,0.0955747242
1740460276752909752,2.188,,,,0.0963455127
1740460276760617637,2.112,,,,0.0971163012
1740460276768325522,2.115,,,,0.0978870897
1740460276776033407,2.102,,,,0.0986578782
1740460276783741292,2.061,,,,0.0994286667
1740460276791449177,2.063,,,,0.1001994552
1740460276799157062,2.065,,,,0.1009702437
1740460276806864947,2.075,,,,0.1017410322
1740460276814572832,2.075,,,,0.1025118207
1740460276822280717,2.063,,,,0.1032826092
1740460276829988602,2.058,,,,0.1040533977
1740460276837696487,2.043,,,,0.1048241862
1740460276845404372,2.065,,,,0.1055949747
1740460276853112257,2.065,,,,0.1063657632
1740460276860820142,2.036,,,,0.1071365517
1740460276868528027,2.048,,,,0.1079073402
1740460276876235912,2.043,,,,0.1086781287
1740460276883943797,2.043,,,,0.1094489172
1740460276891651682,2.036,,,,0.1102197057
1740460276899359567,1.999,,,,0.1109904942
1740460276907067452,2.007,,,,0.1117612827
1740460276914775357,2.004,0.0,,,0.1125320732
1740460276922483172,1.975,,,,0.1133028547
