time,ecg,hr,rr,marker,norm_time
1748247353191430924,-0.184,84.0,790.0,,0.0
1748247353199130935,-0.182,,,,0.0007700011
1748247353206830946,-0.182,,,,0.0015400022
1748247353214530957,-0.182,,,,0.0023100033
1748247353222230968,-0.182,,,,0.0030800044
1748247353229930979,-0.179,,,,0.0038500055
1748247353237630990,-0.179,,,,0.0046200066
1748247353245331001,-0.177,,,,0.0053900077
1748247353253031012,-0.177,,,,0.0061600088
1748247353260731023,-0.172,,,,0.0069300099
1748247353268431034,-0.167,,,,0.007700011
1748247353276131045,-0.167,,,,0.0084700121
1748247353283831056,-0.167,,,,0.0092400132
1748247353291531067,-0.162,,,,0.0100100143
1748247353299231078,-0.148,,,,0.0107800154
1748247353306931089,-0.119,,,,0.0115500165
1748247353314631100,-0.097,,,,0.0123200176
1748247353322331111,-0.106,,,,0.0130900187
1748247353330031122,-0.143,,,,0.0138600198
1748247353337731133,-0.184,,,,0.0146300209
1748247353345431144,-0.196,,,,0.015400022
1748247353353131155,-0.189,,,,0.0161700231
1748247353360831166,-0.184,,,,0.0169400242
1748247353368531177,-0.182,,,,0.0177100253
1748247353376231188,-0.177,,,,0.0184800264
1748247353383931199,-0.172,,,,0.0192500275
1748247353391631210,-0.17,,,,0.0200200286
1748247353399331221,-0.194,,,,0.0207900297
1748247353407031232,-0.24,,,,0.0215600308
1748247353414731243,-0.029,,,,0.0223300319
1748247353422431254,0.634,,,,0.023100033
1748247353430131265,1.234,,,,0.0238700341
1748247353437831276,1.204,,,,0.0246400352
1748247353445531287,0.412,,,,0.0254100363
1748247353453231298,-0.541,,,,0.0261800374
1748247353460931309,-0.5630000000000001,,,,0.0269500385
1748247353468631320,-0.099,,,,0.0277200396
1748247353476331331,-0.199,,,,0.0284900407
1748247353484031342,-0.371,,,,0.0292600418
1748247353491731353,-0.23,,,,0.0300300429
1748247353499431364,-0.199,,,,0.030800044
1748247353507131375,-0.259,,,,0.0315700451
1748247353514831386,-0.216,,,,0.0323400462
1748247353522531397,-0.179,,,,0.0331100473
1748247353530231408,-0.196,,,,0.0338800484
1748247353537931419,-0.182,,,,0.0346500495
1748247353545631430,-0.155,,,,0.0354200506
1748247353553331441,-0.153,,,,0.0361900517
1748247353561031452,-0.14,,,,0.0369600528
1748247353568731463,-0.119,,,,0.0377300539
1748247353576431474,-0.106,,,,0.038500055
1748247353584131485,-0.094,,,,0.0392700561
1748247353591831496,-0.072,,,,0.0400400572
1748247353599531507,-0.051,,,,0.0408100583
