time,ecg,hr,rr,marker,norm_time
1741759297218204305,-0.964,104.0,,,0.0
1741759297225908009,-0.956,,,,0.0007703704
1741759297233611713,-0.954,,,,0.0015407408
1741759297241315417,-0.956,,,,0.0023111112
1741759297249019121,-0.959,,,,0.0030814816
1741759297256722825,-0.959,,,,0.003851852
1741759297264426529,-0.959,,,,0.0046222224
1741759297272130233,-0.959,,,,0.0053925928
1741759297279833937,-0.964,,,,0.0061629632
1741759297287537641,-0.964,,,,0.0069333336
1741759297295241345,-0.959,,,,0.007703704
1741759297302945049,-0.959,,,,0.0084740744
1741759297310648753,-0.959,,,,0.0092444448
1741759297318352457,-0.959,,,,0.0100148152
1741759297326056161,-0.956,,,,0.0107851856
1741759297333759865,-0.954,,,,0.011555556
1741759297341463569,-0.954,,,,0.0123259264
1741759297349167273,-0.956,,,,0.0130962968
1741759297356870977,-0.954,,,,0.0138666672
1741759297364574681,-0.952,,,,0.0146370376
1741759297372278385,-0.952,,,,0.015407408
1741759297379982089,-0.952,,,,0.0161777784
1741759297387685793,-0.949,,,,0.0169481488
1741759297395389497,-0.947,,,,0.0177185192
1741759297403093201,-0.949,,,,0.0184888896
1741759297410796905,-0.949,,,,0.01925926
1741759297418500609,-0.944,,,,0.0200296304
1741759297426204313,-0.939,,,,0.0208000008
1741759297433908017,-0.944,,,,0.0215703712
1741759297441611721,-0.952,,,,0.0223407416
1741759297449315425,-0.952,,,,0.023111112
1741759297457019129,-0.956,,,,0.0238814824
1741759297464722833,-0.961,,,,0.0246518528
1741759297472426537,-0.954,,,,0.0254222232
1741759297480130241,-0.947,,,,0.0261925936
1741759297487833945,-0.944,,,,0.026962964
1741759297495537649,-0.939,,,,0.0277333344
1741759297503241353,-0.932,,,,0.0285037048
1741759297510945057,-0.927,,,,0.0292740752
1741759297518648761,-0.929,,,,0.0300444456
1741759297526352465,-0.925,,,,0.030814816
1741759297534056169,-0.917,,,,0.0315851864
1741759297541759873,-0.915,,,,0.0323555568
1741759297549463577,-0.915,,,,0.0331259272
1741759297557167281,-0.912,,,,0.0338962976
1741759297564870985,-0.91,,,,0.034666668
1741759297572574689,-0.91,,,,0.0354370384
1741759297580278393,-0.937,,,,0.0362074088
1741759297587982097,-1.042,,,,0.0369777792
1741759297595685801,-1.175,,,,0.0377481496
1741759297603389505,-1.005,,,,0.03851852
1741759297611093209,-0.321,,,,0.0392888904
1741759297618796913,0.198,,,,0.0400592608
1741759297626500617,-0.149,,,,0.0408296312
1741759297634204321,-0.684,,,,0.0416000016
1741759297641908025,-0.777,,,,0.042370372
1741759297649611729,-0.91,,,,0.0431407424
1741759297657315433,-1.175,,,,0.0439111128
1741759297665019137,-1.177,,,,0.0446814832
1741759297672722841,-1.072,,,,0.0454518536
1741759297680426545,-1.086,,,,0.046222224
