time,ecg,hr,rr,marker,norm_time
1747019963563568876,-0.036,,,,0.0
1747019963571270002,-0.112,,,,0.0007701126
1747019963578971128,-0.152,,,,0.0015402252
1747019963586672254,-0.179,,,,0.0023103378
1747019963594373380,-0.184,,,,0.0030804504
1747019963602074506,-0.181,,,,0.003850563
1747019963609775632,-0.186,,,,0.0046206756
1747019963617476758,-0.181,,,,0.0053907882
1747019963625177884,-0.166,,,,0.0061609008
1747019963632879010,-0.159,,,,0.0069310134
1747019963640580136,-0.147,,,,0.007701126
1747019963648281262,-0.137,,,,0.0084712386
1747019963655982388,-0.13,,,,0.0092413512
1747019963663683514,-0.122,,,,0.0100114638
1747019963671384640,-0.117,,,,0.0107815764
1747019963679085766,-0.115,,,,0.011551689
1747019963686786892,-0.115,,,,0.0123218016
1747019963694488018,-0.11,,,,0.0130919142
1747019963702189144,-0.105,,,,0.0138620268
1747019963709890270,-0.107,,,,0.0146321394
1747019963717591396,-0.115,,,,0.015402252
1747019963725292522,-0.115,,,,0.0161723646
1747019963732993648,-0.112,,,,0.0169424772
1747019963740694774,-0.117,,,,0.0177125898
1747019963748395900,-0.125,,,,0.0184827024
1747019963756097026,-0.13,,,,0.019252815
1747019963763798152,-0.134,,,,0.0200229276
1747019963771499278,-0.139,,,,0.0207930402
1747019963779200404,-0.137,,,,0.0215631528
1747019963786901530,-0.122,,,,0.0223332654
1747019963794602656,-0.11,,,,0.023103378
1747019963802303782,-0.1,,,,0.0238734906
1747019963810004908,-0.125,,,,0.0246436032
1747019963817706034,-0.161,,,,0.0254137158
1747019963825407160,-0.122,,,,0.0261838284
1747019963833108286,-0.103,,,,0.026953941
1747019963840809412,-0.122,,,,0.0277240536
1747019963848510538,-0.088,,,,0.0284941662
1747019963856211664,-0.107,,,,0.0292642788
1747019963863912790,-0.171,,,,0.0300343914
1747019963871613916,-0.132,,,,0.030804504
1747019963879315042,-0.078,,,,0.0315746166
1747019963887016168,-0.088,,,,0.0323447292
1747019963894717294,-0.085,,,,0.0331148418
1747019963902418420,-0.063,,,,0.0338849544
1747019963910119546,-0.063,,,,0.034655067
1747019963917820672,-0.058,,,,0.0354251796
1747019963925521798,-0.053,,,,0.0361952922
1747019963933222924,-0.058,,,,0.0369654048
1747019963940924050,-0.061,,,,0.0377355174
1747019963948625176,-0.056,,,,0.03850563
1747019963956326302,-0.053,,,,0.0392757426
1747019963964027428,-0.051,,,,0.0400458552
1747019963971728554,-0.051,,,,0.0408159678
1747019963979429680,-0.056,,,,0.0415860804
1747019963987130806,-0.061,,,,0.042356193
1747019963994831932,-0.058,,,,0.0431263056
1747019964002533058,-0.056,,,,0.0438964182
1747019964010234184,-0.056,,,,0.0446665308
1747019964017935310,-0.063,,,,0.0454366434
1747019964025636436,-0.078,,,,0.046206756
1747019964033337562,-0.076,,,,0.0469768686
1747019964041038688,-0.058,,,,0.0477469812
1747019964048739814,-0.046,,,,0.0485170938
1747019964056440940,-0.024,,,,0.0492872064
1747019964064142066,0.004,,,,0.050057319
1747019964071843192,0.002,,,,0.0508274316
1747019964079544318,-0.009,,,,0.0515975442
1747019964087245444,-0.019,,,,0.0523676568
1747019964094946570,-0.044,,,,0.0531377694
1747019964102647696,-0.071,,,,0.053907882
1747019964110348822,-0.056,,,,0.0546779946
1747019964118049948,-0.031,,,,0.0554481072
1747019964125751126,-0.029,69.0,896.0,,0.056218225
1747019964133452252,-0.024,,912.0,,0.0569883376
1747019964141153378,-0.026,,,,0.0577584502
1747019964148854504,-0.041,,,,0.0585285628
1747019964156555630,0.063,,,,0.0592986754
1747019964164256756,0.478,,,,0.060068788
1747019964171957882,1.089,,,,0.0608389006
1747019964179659008,1.283,,,,0.0616090132
1747019964187360134,0.588,,,,0.0623791258
1747019964195061260,-0.395,,,,0.0631492384
1747019964202762386,-0.723,,,,0.063919351
1747019964210463512,-0.473,,,,0.0646894636
1747019964218164638,-0.267,,,,0.0654595762
1747019964225865764,-0.171,,,,0.0662296888
1747019964233566890,-0.034,,,,0.0669998014
1747019964241268016,0.026,,,,0.067769914
1747019964248969142,0.0,,,,0.0685400266
1747019964256670268,0.017,,,,0.0693101392
1747019964264371394,0.049,,,,0.0700802518
1747019964272072520,0.046,,,,0.0708503644
1747019964279773646,0.051,,,,0.071620477
1747019964287474772,0.063,,,,0.0723905896
1747019964295175898,0.068,,,,0.0731607022
1747019964302877024,0.08,,,,0.0739308148
1747019964310578150,0.095,,,,0.0747009274
1747019964318279276,0.105,,,,0.07547104
1747019964325980402,0.115,,,,0.0762411526
1747019964333681528,0.134,,,,0.0770112652
1747019964341382654,0.152,,,,0.0777813778
1747019964349083780,0.164,,,,0.0785514904
1747019964356784906,0.186,,,,0.079321603
1747019964364486032,0.211,,,,0.0800917156
1747019964372187158,0.23,,,,0.0808618282
1747019964379888284,0.247,,,,0.0816319408
1747019964387589410,0.262,,,,0.0824020534
1747019964395290536,0.267,,,,0.083172166
1747019964402991662,0.264,,,,0.0839422786
1747019964410692788,0.262,,,,0.0847123912
1747019964418393914,0.255,,,,0.0854825038
1747019964426095040,0.235,,,,0.0862526164
1747019964433796166,0.201,,,,0.087022729
1747019964441497292,0.149,,,,0.0877928416
1747019964449198418,0.078,,,,0.0885629542
1747019964456899544,0.002,,,,0.0893330668
1747019964464600670,-0.071,,,,0.0901031794
1747019964472301796,-0.132,,,,0.090873292
1747019964480002922,-0.174,,,,0.0916434046
1747019964487704048,-0.203,,,,0.0924135172
1747019964495405174,-0.223,,,,0.0931836298
1747019964503106300,-0.233,,,,0.0939537424
1747019964510807426,-0.235,,,,0.094723855
1747019964518508552,-0.228,,,,0.0954939676
1747019964526209678,-0.218,,,,0.0962640802
1747019964533910804,-0.208,,,,0.0970341928
1747019964541611930,-0.198,,,,0.0978043054
1747019964549313056,-0.193,,,,0.098574418
1747019964557014182,-0.184,,,,0.0993445306
1747019964564715308,-0.171,,,,0.1001146432
1747019964572416434,-0.164,,,,0.1008847558
1747019964580117560,-0.157,,,,0.1016548684
1747019964587818686,-0.149,,,,0.102424981
1747019964595519812,-0.147,,,,0.1031950936
1747019964603220938,-0.142,,,,0.1039652062
1747019964610922064,-0.139,,,,0.1047353188
1747019964618623190,-0.142,,,,0.1055054314
1747019964626324316,-0.144,,,,0.106275544
1747019964634025442,-0.142,,,,0.1070456566
1747019964641726568,-0.139,,,,0.1078157692
1747019964649427694,-0.147,,,,0.1085858818
1747019964657128820,-0.149,,,,0.1093559944
