time,ecg,hr,rr,marker,norm_time
1747116501707198307,-0.089,63.0,,,0.0
1747116501714901105,-0.074,,,,0.0007702798
1747116501722603903,-0.067,,,,0.0015405596
1747116501730306701,-0.053,,,,0.0023108394
1747116501738009499,-0.033,,,,0.0030811192
1747116501745712297,-0.019,,,,0.003851399
1747116501753415095,0.002,,,,0.0046216788
1747116501761117893,0.029,,,,0.0053919586
1747116501768820691,0.053,,,,0.0061622384
1747116501776523489,0.079,,,,0.0069325182
1747116501784226287,0.116,,,,0.007702798
1747116501791929085,0.154,,,,0.0084730778
1747116501799631883,0.188,,,,0.0092433576
1747116501807334681,0.219,,,,0.0100136374
1747116501815037479,0.241,,,,0.0107839172
1747116501822740277,0.246,,,,0.011554197
1747116501830443075,0.232,,,,0.0123244768
1747116501838145873,0.207,,,,0.0130947566
1747116501845848671,0.176,,,,0.0138650364
1747116501853551469,0.13,,,,0.0146353162
1747116501861254267,0.067,,,,0.015405596
1747116501868957065,-0.002,,,,0.0161758758
1747116501876659863,-0.074,,,,0.0169461556
1747116501884362661,-0.137,,,,0.0177164354
1747116501892065459,-0.186,,,,0.0184867152
1747116501899768257,-0.222,,,,0.019256995
1747116501907471055,-0.246,,,,0.0200272748
1747116501915173853,-0.256,,,,0.0207975546
1747116501922876651,-0.258,,,,0.0215678344
1747116501930579449,-0.256,,,,0.0223381142
1747116501938282247,-0.251,,,,0.023108394
1747116501945985045,-0.239,,,,0.0238786738
1747116501953687843,-0.227,,,,0.0246489536
1747116501961390641,-0.217,,962.0,,0.0254192334
1747116501969093439,-0.205,,,,0.0261895132
1747116501976796237,-0.195,,,,0.026959793
1747116501984499035,-0.186,,,,0.0277300728
1747116501992201833,-0.178,,,,0.0285003526
1747116501999904631,-0.166,,,,0.0292706324
1747116502007607429,-0.159,,,,0.0300409122
1747116502015310227,-0.154,,,,0.030811192
1747116502023013025,-0.149,,,,0.0315814718
1747116502030715823,-0.147,,,,0.0323517516
1747116502038418621,-0.145,,,,0.0331220314
1747116502046121419,-0.142,,,,0.0338923112
1747116502053824217,-0.14,,,,0.034662591
1747116502061527015,-0.137,,,,0.0354328708
1747116502069229813,-0.14,,,,0.0362031506
1747116502076932611,-0.14,,,,0.0369734304
1747116502084635409,-0.137,,,,0.0377437102
1747116502092338207,-0.135,,,,0.03851399
1747116502100041005,-0.135,,,,0.0392842698
1747116502107743803,-0.137,,,,0.0400545496
1747116502115446601,-0.135,,,,0.0408248294
1747116502123149399,-0.132,,,,0.0415951092
1747116502130852197,-0.132,,,,0.042365389
1747116502138554995,-0.132,,,,0.0431356688
1747116502146257793,-0.128,,,,0.0439059486
1747116502153960591,-0.128,,,,0.0446762284
1747116502161663389,-0.128,,,,0.0454465082
1747116502169366187,-0.128,,,,0.046216788
1747116502177068985,-0.123,,,,0.0469870678
1747116502184771783,-0.123,,,,0.0477573476
1747116502192474581,-0.123,,,,0.0485276274
1747116502200177379,-0.12,,,,0.0492979072
1747116502207880177,-0.118,,,,0.050068187
1747116502215582975,-0.118,,,,0.0508384668
1747116502223285773,-0.116,,,,0.0516087466
1747116502230988571,-0.113,,,,0.0523790264
1747116502238691369,-0.108,,,,0.0531493062
1747116502246394167,-0.106,,,,0.053919586
1747116502254096965,-0.106,,,,0.0546898658
1747116502261799763,-0.103,,,,0.0554601456
1747116502269502629,-0.101,,,,0.0562304322
1747116502277205567,-0.101,,,,0.057000726
1747116502284908505,-0.099,,,,0.0577710198
1747116502292611443,-0.099,,,,0.0585413136
1747116502300314381,-0.096,,,,0.0593116074
1747116502308017319,-0.096,,,,0.0600819012
1747116502315720257,-0.096,,,,0.060852195
1747116502323423195,-0.094,,,,0.0616224888
1747116502331126133,-0.094,,,,0.0623927826
1747116502338829071,-0.094,,,,0.0631630764
1747116502346532009,-0.091,,,,0.0639333702
1747116502354234947,-0.089,,,,0.064703664
1747116502361937885,-0.087,,,,0.0654739578
1747116502369640823,-0.084,,,,0.0662442516
1747116502377343761,-0.087,,,,0.0670145454
1747116502385046699,-0.089,,,,0.0677848392
1747116502392749637,-0.089,,,,0.068555133
1747116502400452575,-0.082,,,,0.0693254268
1747116502408155513,-0.072,,,,0.0700957206
1747116502415858451,-0.06,,,,0.0708660144
1747116502423561389,-0.053,,,,0.0716363082
1747116502431264327,-0.048,,,,0.072406602
1747116502438967265,-0.048,,,,0.0731768958
1747116502446670203,-0.05,,,,0.0739471896
1747116502454373141,-0.053,,,,0.0747174834
1747116502462076079,-0.053,,,,0.0754877772
1747116502469779017,-0.065,,,,0.076258071
1747116502477481955,-0.082,,,,0.0770283648
1747116502485184893,-0.087,,,,0.0777986586
1747116502492887831,-0.084,,,,0.0785689524
1747116502500590769,-0.084,,,,0.0793392462
1747116502508293707,-0.087,,,,0.08010954
1747116502515996645,-0.087,,,,0.0808798338
1747116502523699583,-0.087,,,,0.0816501276
1747116502531402521,-0.089,,,,0.0824204214
1747116502539105459,-0.089,,,,0.0831907152
1747116502546808397,-0.087,,,,0.083961009
1747116502554511335,-0.087,,,,0.0847313028
1747116502562214273,-0.082,,,,0.0855015966
1747116502569917211,-0.077,,,,0.0862718904
1747116502577620149,-0.084,,,,0.0870421842
1747116502585323087,-0.067,,,,0.087812478
1747116502593026025,0.101,,,,0.0885827718
1747116502600728963,0.517,,,,0.0893530656
1747116502608431901,1.029,,,,0.0901233594
1747116502616134839,1.145,,,,0.0908936532
1747116502623837777,0.432,,,,0.091663947
1747116502631540715,-0.408,,,,0.0924342408
1747116502639243653,-0.413,,,,0.0932045346
1747116502646946591,-0.116,,,,0.0939748284
1747116502654649529,-0.171,,,,0.0947451222
1747116502662352467,-0.232,,,,0.095515416
1747116502670055405,-0.142,,,,0.0962857098
1747116502677758343,-0.13,,,,0.0970560036
1747116502685461281,-0.152,,,,0.0978262974
1747116502693164219,-0.12,,,,0.0985965912
1747116502700867157,-0.101,,,,0.099366885
1747116502708570095,-0.103,,,,0.1001371788
1747116502716273033,-0.087,,,,0.1009074726
1747116502723975971,-0.07,,,,0.1016777664
1747116502731678909,-0.065,,,,0.1024480602
1747116502739381847,-0.055,,,,0.103218354
1747116502747084785,-0.036,,,,0.1039886478
1747116502754787723,-0.021,,,,0.1047589416
1747116502762490661,-0.004,,,,0.1055292354
1747116502770193599,0.019,,,,0.1062995292
1747116502777896537,0.043,,,,0.107069823
1747116502785599475,0.072,,,,0.1078401168
1747116502793302413,0.103,,,,0.1086104106
1747116502801005351,0.14,,,,0.1093807044
1747116502808708289,0.178,,,,0.1101509982
1747116502816411227,0.21,,,,0.110921292
1747116502824114165,0.232,,,,0.1116915858
1747116502831817125,0.239,63.0,,,0.1124618818
1747116502839520202,0.232,,,,0.1132321895
1747116502847223279,0.207,,,,0.1140024972
1747116502854926356,0.171,,,,0.1147728049
1747116502862629433,0.128,,,,0.1155431126
1747116502870332510,0.07,,,,0.1163134203
1747116502878035587,-0.002,,,,0.117083728
1747116502885738664,-0.072,,,,0.1178540357
1747116502893441741,-0.135,,,,0.1186243434
1747116502901144818,-0.188,,942.0,,0.1193946511
1747116502908847895,-0.227,,,,0.1201649588
1747116502916550972,-0.253,,,,0.1209352665
1747116502924254049,-0.268,,,,0.1217055742
1747116502931957126,-0.273,,,,0.1224758819
1747116502939660203,-0.27,,,,0.1232461896
1747116502947363280,-0.263,,,,0.1240164973
1747116502955066357,-0.253,,,,0.124786805
1747116502962769434,-0.244,,,,0.1255571127
1747116502970472511,-0.234,,,,0.1263274204
1747116502978175588,-0.224,,,,0.1270977281
1747116502985878665,-0.212,,,,0.1278680358
1747116502993581742,-0.203,,,,0.1286383435
1747116503001284819,-0.195,,,,0.1294086512
1747116503008987896,-0.186,,,,0.1301789589
1747116503016690973,-0.178,,,,0.1309492666
1747116503024394050,-0.176,,,,0.1317195743
1747116503032097127,-0.174,,,,0.132489882
1747116503039800204,-0.166,,,,0.1332601897
1747116503047503281,-0.161,,,,0.1340304974
1747116503055206358,-0.164,,,,0.1348008051
1747116503062909435,-0.166,,,,0.1355711128
1747116503070612512,-0.164,,,,0.1363414205
1747116503078315589,-0.161,,,,0.1371117282
1747116503086018666,-0.159,,,,0.1378820359
1747116503093721743,-0.159,,,,0.1386523436
1747116503101424820,-0.161,,,,0.1394226513
1747116503109127897,-0.161,,,,0.140192959
1747116503116830974,-0.161,,,,0.1409632667
1747116503124534051,-0.159,,,,0.1417335744
1747116503132237128,-0.157,,,,0.1425038821
1747116503139940205,-0.157,,,,0.1432741898
1747116503147643282,-0.159,,,,0.1440444975
1747116503155346359,-0.159,,,,0.1448148052
1747116503163049436,-0.157,,,,0.1455851129
1747116503170752513,-0.157,,,,0.1463554206
1747116503178455590,-0.157,,,,0.1471257283
1747116503186158667,-0.154,,,,0.147896036
1747116503193861744,-0.152,,,,0.1486663437
1747116503201564821,-0.149,,,,0.1494366514
1747116503209267898,-0.147,,,,0.1502069591
1747116503216970975,-0.145,,,,0.1509772668
1747116503224674052,-0.147,,,,0.1517475745
1747116503232377129,-0.145,,,,0.1525178822
1747116503240080206,-0.14,,,,0.1532881899
1747116503247783283,-0.137,,,,0.1540584976
1747116503255486360,-0.14,,,,0.1548288053
1747116503263189437,-0.137,,,,0.155599113
1747116503270892514,-0.132,,,,0.1563694207
1747116503278595591,-0.13,,,,0.1571397284
1747116503286298668,-0.13,,,,0.1579100361
1747116503294001745,-0.13,,,,0.1586803438
1747116503301704822,-0.13,,,,0.1594506515
1747116503309407899,-0.13,,,,0.1602209592
1747116503317110976,-0.128,,,,0.1609912669
1747116503324814053,-0.125,,,,0.1617615746
1747116503332517130,-0.125,,,,0.1625318823
1747116503340220207,-0.128,,,,0.16330219
1747116503347923284,-0.123,,,,0.1640724977
1747116503355626361,-0.123,,,,0.1648428054
1747116503363329438,-0.128,,,,0.1656131131
1747116503371032515,-0.128,,,,0.1663834208
1747116503378735592,-0.12,,,,0.1671537285
1747116503386438669,-0.108,,,,0.1679240362
1747116503394141791,-0.096,,,,0.1686943484
1747116503401844589,-0.091,,,,0.1694646282
1747116503409547387,-0.087,,,,0.170234908
1747116503417250185,-0.087,,,,0.1710051878
1747116503424952983,-0.091,,,,0.1717754676
1747116503432655781,-0.094,,,,0.1725457474
1747116503440358579,-0.099,,,,0.1733160272
1747116503448061377,-0.113,,,,0.174086307
1747116503455764175,-0.12,,,,0.1748565868
1747116503463466973,-0.118,,,,0.1756268666
1747116503471169771,-0.116,,,,0.1763971464
1747116503478872569,-0.116,,,,0.1771674262
1747116503486575367,-0.118,,,,0.177937706
1747116503494278165,-0.12,,,,0.1787079858
1747116503501980963,-0.12,,,,0.1794782656
1747116503509683761,-0.12,,,,0.1802485454
1747116503517386559,-0.116,,,,0.1810188252
1747116503525089357,-0.116,,,,0.181789105
1747116503532792155,-0.118,,,,0.1825593848
1747116503540494953,-0.108,,,,0.1833296646
1747116503548197751,-0.103,,,,0.1840999444
1747116503555900549,-0.108,,,,0.1848702242
1747116503563603347,-0.058,,,,0.185640504
1747116503571306145,0.188,,,,0.1864107838
1747116503579008943,0.657,,,,0.1871810636
1747116503586711741,1.087,,,,0.1879513434
1747116503594414539,0.971,,,,0.1887216232
1747116503602117337,0.135,,,,0.189491903
1747116503609820135,-0.531,,,,0.1902621828
1747116503617522933,-0.389,,,,0.1910324626
1747116503625225731,-0.157,,,,0.1918027424
1747116503632928529,-0.234,,,,0.1925730222
1747116503640631327,-0.236,,,,0.193343302
1747116503648334125,-0.161,,,,0.1941135818
1747116503656036923,-0.171,,,,0.1948838616
1747116503663739721,-0.176,,,,0.1956541414
1747116503671442519,-0.137,,,,0.1964244212
1747116503679145317,-0.123,,,,0.197194701
1747116503686848115,-0.123,,,,0.1979649808
1747116503694550913,-0.106,,,,0.1987352606
1747116503702253711,-0.087,,,,0.1995055404
1747116503709956509,-0.077,,,,0.2002758202
1747116503717659307,-0.065,,,,0.2010461
1747116503725362105,-0.048,,,,0.2018163798
1747116503733064903,-0.033,,,,0.2025866596
1747116503740767701,-0.014,,,,0.2033569394
1747116503748470499,0.014,,,,0.2041272192
1747116503756173297,0.043,,,,0.204897499
1747116503763876095,0.074,,,,0.2056677788
1747116503771578893,0.111,,,,0.2064380586
1747116503779281691,0.157,,,,0.2072083384
1747116503786984489,0.203,,,,0.2079786182
1747116503794687287,0.236,,,,0.208748898
1747116503802390085,0.251,,,,0.2095191778
1747116503810092883,0.248,,,,0.2102894576
1747116503817795681,0.241,,,,0.2110597374
1747116503825498479,0.217,,,,0.2118300172
1747116503833201277,0.174,,,,0.212600297
1747116503840904075,0.12,,,,0.2133705768
1747116503848606873,0.05,,,,0.2141408566
1747116503856309671,-0.033,,,,0.2149111364
1747116503864012469,-0.118,,961.0,,0.2156814162
1747116503871715267,-0.19,,,,0.216451696
1747116503879418065,-0.248,,,,0.2172219758
1747116503887120863,-0.29,,,,0.2179922556
1747116503894823661,-0.314,,,,0.2187625354
1747116503902526459,-0.321,,,,0.2195328152
1747116503910229257,-0.321,,,,0.220303095
1747116503917932055,-0.316,,,,0.2210733748
1747116503925634853,-0.309,,,,0.2218436546
1747116503933337651,-0.304,,,,0.2226139344
1747116503941040449,-0.294,,,,0.2233842142
1747116503948743247,-0.28,,,,0.224154494
1747116503956446113,-0.263,63.0,,,0.2249247806
1747116503964148911,-0.246,,,,0.2256950604
1747116503971851709,-0.234,,,,0.2264653402
1747116503979554507,-0.222,,,,0.22723562
1747116503987257305,-0.212,,,,0.2280058998
1747116503994960103,-0.205,,,,0.2287761796
1747116504002662901,-0.2,,,,0.2295464594
1747116504010365699,-0.19,,,,0.2303167392
1747116504018068497,-0.183,,,,0.231087019
1747116504025771295,-0.183,,,,0.2318572988
1747116504033474093,-0.181,,,,0.2326275786
1747116504041176891,-0.174,,,,0.2333978584
1747116504048879689,-0.174,,,,0.2341681382
1747116504056582487,-0.178,,,,0.234938418
1747116504064285285,-0.176,,,,0.2357086978
1747116504071988083,-0.174,,,,0.2364789776
1747116504079690881,-0.174,,,,0.2372492574
1747116504087393679,-0.174,,,,0.2380195372
1747116504095096477,-0.171,,,,0.238789817
1747116504102799275,-0.171,,,,0.2395600968
1747116504110502073,-0.171,,,,0.2403303766
1747116504118204871,-0.169,,,,0.2411006564
1747116504125907669,-0.164,,,,0.2418709362
1747116504133610467,-0.164,,,,0.242641216
1747116504141313265,-0.164,,,,0.2434114958
1747116504149016063,-0.161,,,,0.2441817756
1747116504156718861,-0.157,,,,0.2449520554
1747116504164421659,-0.152,,,,0.2457223352
1747116504172124457,-0.159,,,,0.246492615
1747116504179827255,-0.157,,,,0.2472628948
1747116504187530053,-0.145,,,,0.2480331746
1747116504195232851,-0.145,,,,0.2488034544
1747116504202935649,-0.147,,,,0.2495737342
1747116504210638447,-0.145,,,,0.250344014
1747116504218341245,-0.142,,,,0.2511142938
1747116504226044043,-0.137,,,,0.2518845736
1747116504233746841,-0.13,,,,0.2526548534
1747116504241449639,-0.132,,,,0.2534251332
1747116504249152437,-0.135,,,,0.254195413
1747116504256855235,-0.128,,,,0.2549656928
1747116504264558033,-0.125,,,,0.2557359726
1747116504272260831,-0.125,,,,0.2565062524
1747116504279963629,-0.123,,,,0.2572765322
1747116504287666427,-0.12,,,,0.258046812
1747116504295369225,-0.12,,,,0.2588170918
1747116504303072023,-0.125,,,,0.2595873716
1747116504310774821,-0.123,,,,0.2603576514
1747116504318477619,-0.111,,,,0.2611279312
1747116504326180417,-0.096,,,,0.261898211
1747116504333883215,-0.084,,,,0.2626684908
1747116504341586013,-0.077,,,,0.2634387706
1747116504349288811,-0.072,,,,0.2642090504
1747116504356991609,-0.07,,,,0.2649793302
1747116504364694407,-0.074,,,,0.26574961
1747116504372397205,-0.077,,,,0.2665198898
1747116504380100003,-0.077,,,,0.2672901696
1747116504387802801,-0.091,,,,0.2680604494
1747116504395505599,-0.108,,,,0.2688307292
1747116504403208397,-0.108,,,,0.269601009
1747116504410911195,-0.101,,,,0.2703712888
1747116504418613993,-0.103,,,,0.2711415686
1747116504426316791,-0.111,,,,0.2719118484
1747116504434019589,-0.103,,,,0.2726821282
1747116504441722387,-0.094,,,,0.273452408
1747116504449425185,-0.096,,,,0.2742226878
1747116504457127983,-0.099,,,,0.2749929676
1747116504464830781,-0.089,,,,0.2757632474
1747116504472533579,-0.084,,,,0.2765335272
1747116504480236377,-0.084,,,,0.277303807
1747116504487939175,-0.082,,,,0.2780740868
1747116504495641973,-0.082,,,,0.2788443666
1747116504503344771,-0.041,,,,0.2796146464
1747116504511047569,0.176,,,,0.2803849262
1747116504518750435,0.63,,,,0.2811552128
1747116504526453233,1.099,,,,0.2819254926
1747116504534156031,1.08,,,,0.2826957724
1747116504541858829,0.282,,,,0.2834660522
1747116504549561627,-0.476,,,,0.284236332
1747116504557264425,-0.396,,,,0.2850066118
1747116504564967223,-0.125,,,,0.2857768916
1747116504572670021,-0.188,,,,0.2865471714
1747116504580372819,-0.203,,,,0.2873174512
1747116504588075617,-0.12,,,,0.288087731
1747116504595778415,-0.125,,,,0.2888580108
1747116504603481213,-0.135,,,,0.2896282906
1747116504611184011,-0.099,,,,0.2903985704
1747116504618886809,-0.084,,,,0.2911688502
1747116504626589607,-0.082,,,,0.29193913
1747116504634292405,-0.065,,,,0.2927094098
1747116504641995203,-0.05,,,,0.2934796896
1747116504649698001,-0.041,,,,0.2942499694
1747116504657400799,-0.026,,,,0.2950202492
1747116504665103597,-0.009,,,,0.295790529
1747116504672806395,0.004,,,,0.2965608088
1747116504680509193,0.029,,,,0.2973310886
1747116504688211991,0.055,,,,0.2981013684
1747116504695914789,0.084,,,,0.2988716482
1747116504703617587,0.118,,,,0.299641928
1747116504711320385,0.157,,,,0.3004122078
1747116504719023183,0.195,,,,0.3011824876
1747116504726725981,0.239,,,,0.3019527674
1747116504734428779,0.275,,,,0.3027230472
1747116504742131577,0.297,,,,0.303493327
1747116504749834375,0.299,,,,0.3042636068
1747116504757537173,0.287,,,,0.3050338866
1747116504765239971,0.261,,,,0.3058041664
1747116504772942769,0.217,,,,0.3065744462
1747116504780645567,0.161,,,,0.307344726
1747116504788348365,0.087,,,,0.3081150058
1747116504796051163,0.0,,,,0.3088852856
1747116504803753961,-0.082,,,,0.3096555654
1747116504811456759,-0.152,,,,0.3104258452
1747116504819159557,-0.205,,,,0.311196125
1747116504826862355,-0.241,,,,0.3119664048
1747116504834565153,-0.265,,972.0,,0.3127366846
1747116504842267951,-0.275,,,,0.3135069644
1747116504849970749,-0.275,,,,0.3142772442
1747116504857673547,-0.273,,,,0.315047524
1747116504865376345,-0.265,,,,0.3158178038
1747116504873079143,-0.256,,,,0.3165880836
1747116504880781941,-0.241,,,,0.3173583634
1747116504888484739,-0.232,,,,0.3181286432
1747116504896187537,-0.222,,,,0.318898923
1747116504903890335,-0.207,,,,0.3196692028
1747116504911593133,-0.195,,,,0.3204394826
1747116504919295931,-0.186,,,,0.3212097624
1747116504926998729,-0.176,,,,0.3219800422
1747116504934701527,-0.169,,,,0.322750322
1747116504942404325,-0.159,,,,0.3235206018
1747116504950107123,-0.152,,,,0.3242908816
1747116504957809921,-0.147,,,,0.3250611614
1747116504965512719,-0.14,,,,0.3258314412
1747116504973215517,-0.135,,,,0.326601721
1747116504980918315,-0.132,,,,0.3273720008
1747116504988621113,-0.132,,,,0.3281422806
1747116504996323911,-0.132,,,,0.3289125604
1747116505004026709,-0.13,,,,0.3296828402
1747116505011729507,-0.132,,,,0.33045312
1747116505019432305,-0.132,,,,0.3312233998
1747116505027135103,-0.132,,,,0.3319936796
1747116505034837901,-0.132,,,,0.3327639594
1747116505042540699,-0.132,,,,0.3335342392
1747116505050243497,-0.13,,,,0.334304519
1747116505057946295,-0.128,,,,0.3350747988
1747116505065649093,-0.128,,,,0.3358450786
1747116505073351891,-0.128,,,,0.3366153584
1747116505081054757,-0.125,62.0,,,0.337385645
1747116505088757625,-0.123,,,,0.3381559318
1747116505096460493,-0.123,,,,0.3389262186
1747116505104163361,-0.12,,,,0.3396965054
1747116505111866229,-0.118,,,,0.3404667922
1747116505119569097,-0.113,,,,0.341237079
1747116505127271965,-0.111,,,,0.3420073658
1747116505134974833,-0.111,,,,0.3427776526
1747116505142677701,-0.108,,,,0.3435479394
1747116505150380569,-0.108,,,,0.3443182262
1747116505158083437,-0.106,,,,0.345088513
1747116505165786305,-0.103,,,,0.3458587998
1747116505173489173,-0.103,,,,0.3466290866
1747116505181192041,-0.101,,,,0.3473993734
1747116505188894909,-0.096,,,,0.3481696602
1747116505196597777,-0.094,,,,0.348939947
1747116505204300645,-0.091,,,,0.3497102338
1747116505212003513,-0.091,,,,0.3504805206
1747116505219706381,-0.089,,,,0.3512508074
1747116505227409249,-0.089,,,,0.3520210942
1747116505235112117,-0.087,,,,0.352791381
1747116505242814985,-0.084,,,,0.3535616678
1747116505250517853,-0.084,,,,0.3543319546
