time,ecg,hr,rr,marker,norm_time
1748245840629941695,-0.24,,,,0.0
1748245840637644911,-0.1,,,,0.0007703216
1748245840645348127,-0.066,,,,0.0015406432
1748245840653051343,-0.184,,,,0.0023109648
1748245840660754559,-0.247,,,,0.0030812864
1748245840668457775,-0.206,,,,0.003851608
1748245840676160991,-0.139,,,,0.0046219296
1748245840683864207,-0.107,,,,0.0053922512
1748245840691567423,-0.152,,,,0.0061625728
1748245840699270639,-0.208,,,,0.0069328944
1748245840706973855,-0.218,,,,0.007703216
1748245840714677071,-0.196,,,,0.0084735376
1748245840722380287,-0.149,,,,0.0092438592
1748245840730083503,-0.144,,,,0.0100141808
1748245840737786719,-0.188,,,,0.0107845024
1748245840745489935,-0.191,,,,0.011554824
1748245840753193151,-0.181,,,,0.0123251456
1748245840760896367,-0.196,,,,0.0130954672
1748245840768599583,-0.193,,,,0.0138657888
1748245840776302799,-0.211,,,,0.0146361104
1748245840784006015,-0.238,,,,0.015406432
1748245840791709231,-0.233,,,,0.0161767536
1748245840799412447,-0.225,,,,0.0169470752
1748245840807115663,-0.179,,,,0.0177173968
1748245840814818879,-0.132,,,,0.0184877184
1748245840822522095,-0.169,,,,0.01925804
1748245840830225311,-0.242,,,,0.0200283616
1748245840837928527,-0.274,,,,0.0207986832
1748245840845631743,-0.223,,,,0.0215690048
1748245840853334959,-0.171,,,,0.0223393264
1748245840861038175,-0.201,,,,0.023109648
1748245840868741391,-0.203,,,,0.0238799696
1748245840876444607,-0.144,,,,0.0246502912
1748245840884147823,-0.117,,,,0.0254206128
1748245840891851039,-0.181,,,,0.0261909344
1748245840899554255,-0.25,,,,0.026961256
1748245840907257471,-0.218,,,,0.0277315776
1748245840914960687,-0.196,,,,0.0285018992
1748245840922663903,-0.247,,,,0.0292722208
1748245840930367119,-0.24,,,,0.0300425424
1748245840938070335,-0.218,,,,0.030812864
1748245840945773551,-0.24,,,,0.0315831856
1748245840953476767,-0.166,,,,0.0323535072
1748245840961179983,0.046,,,,0.0331238288
1748245840968883199,0.245,,,,0.0338941504
1748245840976586415,0.223,,,,0.034664472
1748245840984289631,-0.201,,,,0.0354347936
1748245840991992847,-0.753,,,,0.0362051152
1748245840999696063,-0.721,,,,0.0369754368
1748245841007399279,-0.274,,,,0.0377457584
1748245841015102495,-0.203,,,,0.03851608
1748245841022805711,-0.328,,,,0.0392864016
1748245841030508927,-0.25,,,,0.0400567232
1748245841038212143,-0.309,,,,0.0408270448
1748245841045915359,-0.426,,,,0.0415973664
1748245841053618575,-0.279,,,,0.042367688
1748245841061321791,-0.171,,,,0.0431380096
1748245841069025007,-0.242,,,,0.0439083312
1748245841076728223,-0.274,,,,0.0446786528
1748245841084431439,-0.289,,,,0.0454489744
1748245841092134655,-0.306,,,,0.046219296
1748245841099837871,-0.274,,,,0.0469896176
1748245841107541087,-0.262,,,,0.0477599392
1748245841115244303,-0.26,,,,0.0485302608
1748245841122947519,-0.213,,,,0.0493005824
1748245841130650735,-0.198,,,,0.050070904
1748245841138353951,-0.208,,,,0.0508412256
1748245841146057167,-0.196,,,,0.0516115472
1748245841153760383,-0.198,,,,0.0523818688
1748245841161463599,-0.203,,,,0.0531521904
1748245841169166815,-0.198,,,,0.053922512
1748245841176870031,-0.176,,,,0.0546928336
1748245841184573247,-0.169,,,,0.0554631552
1748245841192276535,-0.203,88.0,634.0,,0.056233484
1748245841199979542,-0.154,,643.0,,0.0570037847
1748245841207682549,-0.08,,,,0.0577740854
1748245841215385556,-0.154,,,,0.0585443861
1748245841223088563,-0.223,,,,0.0593146868
1748245841230791570,-0.193,,,,0.0600849875
1748245841238494577,-0.203,,,,0.0608552882
1748245841246197584,-0.296,,,,0.0616255889
1748245841253900591,-0.345,,,,0.0623958896
1748245841261603598,-0.277,,,,0.0631661903
1748245841269306605,-0.208,,,,0.063936491
1748245841277009612,-0.252,,,,0.0647067917
1748245841284712619,-0.326,,,,0.0654770924
1748245841292415626,-0.299,,,,0.0662473931
1748245841300118633,-0.247,,,,0.0670176938
1748245841307821640,-0.289,,,,0.0677879945
1748245841315524647,-0.341,,,,0.0685582952
1748245841323227654,-0.299,,,,0.0693285959
1748245841330930661,-0.228,,,,0.0700988966
1748245841338633668,-0.223,,,,0.0708691973
1748245841346336675,-0.26,,,,0.071639498
1748245841354039682,-0.252,,,,0.0724097987
1748245841361742689,-0.26,,,,0.0731800994
1748245841369445696,-0.328,,,,0.0739504001
1748245841377148703,-0.289,,,,0.0747207008
1748245841384851710,-0.184,,,,0.0754910015
1748245841392554717,-0.233,,,,0.0762613022
1748245841400257724,-0.353,,,,0.0770316029
1748245841407960731,-0.36,,,,0.0778019036
1748245841415663738,-0.262,,,,0.0785722043
1748245841423366745,-0.201,,,,0.079342505
1748245841431069752,-0.206,,,,0.0801128057
1748245841438772759,-0.198,,,,0.0808831064
1748245841446475766,-0.262,,,,0.0816534071
1748245841454178773,-0.365,,,,0.0824237078
1748245841461881780,-0.306,,,,0.0831940085
1748245841469584787,-0.228,,,,0.0839643092
1748245841477287794,-0.264,,,,0.0847346099
1748245841484990801,-0.22,,,,0.0855049106
1748245841492693808,-0.139,,,,0.0862752113
1748245841500396815,-0.218,,,,0.087045512
1748245841508099822,-0.282,,,,0.0878158127
1748245841515802829,-0.24,,,,0.0885861134
1748245841523505836,-0.264,,,,0.0893564141
1748245841531208843,-0.306,,,,0.0901267148
1748245841538911850,-0.282,,,,0.0908970155
1748245841546614857,-0.304,,,,0.0916673162
1748245841554317864,-0.294,,,,0.0924376169
1748245841562020871,-0.206,,,,0.0932079176
1748245841569723878,-0.242,,,,0.0939782183
1748245841577426885,-0.267,,,,0.094748519
1748245841585129892,-0.068,,,,0.0955188197
1748245841592832899,0.179,,,,0.0962891204
1748245841600535906,0.166,,,,0.0970594211
1748245841608238913,-0.262,,,,0.0978297218
1748245841615941920,-0.6940000000000001,,,,0.0986000225
1748245841623644927,-0.588,,,,0.0993703232
1748245841631347934,-0.311,,,,0.1001406239
1748245841639050941,-0.314,,,,0.1009109246
1748245841646753948,-0.321,,,,0.1016812253
1748245841654456955,-0.228,,,,0.102451526
1748245841662159962,-0.225,,,,0.1032218267
1748245841669862969,-0.284,,,,0.1039921274
1748245841677565976,-0.269,,,,0.1047624281
1748245841685268983,-0.196,,,,0.1055327288
1748245841692971990,-0.213,,,,0.1063030295
1748245841700674997,-0.274,,,,0.1070733302
1748245841708378004,-0.223,,,,0.1078436309
1748245841716081011,-0.193,,,,0.1086139316
1748245841723784018,-0.255,,,,0.1093842323
1748245841731487025,-0.225,,,,0.110154533
1748245841739190032,-0.154,,,,0.1109248337
1748245841746893039,-0.213,,,,0.1116951344
1748245841754596118,-0.23,,,,0.1124654423
1748245841762299125,-0.073,,,,0.113235743
1748245841770002132,-0.004,,,,0.1140060437
1748245841777705139,-0.125,,,,0.1147763444
1748245841785408146,-0.186,,,,0.1155466451
1748245841793111153,-0.1,,,,0.1163169458
1748245841800814160,-0.049,,,,0.1170872465
1748245841808517167,-0.088,,,,0.1178575472
1748245841816220174,-0.12,,,,0.1186278479
1748245841823923181,-0.132,,,,0.1193981486
1748245841831626188,-0.088,,,,0.1201684493
1748245841839329195,-0.036,,,,0.12093875
1748245841847032202,-0.1,,,,0.1217090507
1748245841854735209,-0.134,,,,0.1224793514
1748245841862438216,-0.088,,,,0.1232496521
1748245841870141223,-0.139,,,,0.1240199528
1748245841877844230,-0.215,,,,0.1247902535
