time,ecg,hr,rr,marker,norm_time
1741758043828013911,-0.137,,,,0.0
1741758043835717406,-0.144,,,,0.0007703495
1741758043843420901,-0.164,,,,0.001540699
1741758043851124396,-0.117,,,,0.0023110485
1741758043858827891,-0.098,,,,0.003081398
1741758043866531386,-0.103,,,,0.0038517475
1741758043874234881,-0.078,,,,0.004622097
1741758043881938376,-0.058,,,,0.0053924465
1741758043889641871,-0.044,,,,0.006162796
1741758043897345366,-0.019,,,,0.0069331455
1741758043905048861,0.004,,,,0.007703495
1741758043912752356,0.026,,,,0.0084738445
1741758043920455851,0.051,,,,0.009244194
1741758043928159346,0.098,,,,0.0100145435
1741758043935862841,0.154,,,,0.010784893
1741758043943566336,0.193,,,,0.0115552425
1741758043951269831,0.247,,,,0.012325592
1741758043958973326,0.311,,,,0.0130959415
1741758043966676821,0.36,,,,0.013866291
1741758043974380316,0.397,,,,0.0146366405
1741758043982083811,0.424,,,,0.01540699
1741758043989787306,0.441,,,,0.0161773395
1741758043997490801,0.419,,,,0.016947689
1741758044005194296,0.365,,,,0.0177180385
1741758044012897791,0.287,,,,0.018488388
1741758044020601286,0.159,,,,0.0192587375
1741758044028304781,0.009,,,,0.020029087
1741758044036008276,-0.112,,,,0.0207994365
1741758044043711771,-0.208,,,,0.021569786
1741758044051415266,-0.279,,,,0.0223401355
1741758044059118761,-0.328,,,,0.023110485
1741758044066822256,-0.353,,,,0.0238808345
1741758044074525751,-0.353,,,,0.024651184
1741758044082229246,-0.348,,,,0.0254215335
1741758044089932741,-0.338,,,,0.026191883
1741758044097636236,-0.331,,,,0.0269622325
1741758044105339731,-0.318,,,,0.027732582
1741758044113043226,-0.309,,,,0.0285029315
1741758044120746721,-0.311,,,,0.029273281
1741758044128450216,-0.296,,,,0.0300436305
1741758044136153711,-0.274,,,,0.03081398
1741758044143857206,-0.262,,,,0.0315843295
1741758044151560701,-0.255,,,,0.032354679
1741758044159264196,-0.252,,,,0.0331250285
1741758044166967691,-0.245,,,,0.033895378
1741758044174671186,-0.23,,,,0.0346657275
1741758044182374681,-0.225,,,,0.035436077
1741758044190078176,-0.22,,,,0.0362064265
1741758044197781671,-0.218,,,,0.036976776
1741758044205485166,-0.22,,,,0.0377471255
1741758044213188661,-0.215,,,,0.038517475
1741758044220892156,-0.211,,,,0.0392878245
1741758044228595651,-0.203,,,,0.040058174
1741758044236299146,-0.198,,,,0.0408285235
1741758044244002641,-0.203,,,,0.041598873
1741758044251706136,-0.198,,,,0.0423692225
1741758044259409631,-0.193,,,,0.043139572
1741758044267113126,-0.193,,,,0.0439099215
1741758044274816621,-0.186,,,,0.044680271
1741758044282520116,-0.184,,,,0.0454506205
1741758044290223611,-0.179,,,,0.04622097
1741758044297927106,-0.179,,,,0.0469913195
1741758044305630601,-0.181,,,,0.047761669
1741758044313334096,-0.174,,,,0.0485320185
1741758044321037591,-0.169,,,,0.049302368
1741758044328741086,-0.161,,,,0.0500727175
1741758044336444581,-0.159,,,,0.050843067
1741758044344148076,-0.164,,,,0.0516134165
1741758044351851571,-0.157,,,,0.052383766
1741758044359555066,-0.157,,,,0.0531541155
1741758044367258561,-0.154,,,,0.053924465
1741758044374962056,-0.149,,,,0.0546948145
1741758044382665551,-0.149,,,,0.055465164
1741758044390369099,-0.147,79.0,,,0.0562355188
