UNIX Timestamp,ECG,HR,RR,Marker,time,norm_time
1776408881179728984,0.056,,,,1776408881179728984,0.0
1776408881187420774,0.036,,,,1776408881187420774,0.000769179
1776408881195112564,0.039,,,,1776408881195112564,0.001538358
1776408881202804354,0.041,,,,1776408881202804354,0.002307537
1776408881210496144,0.044,,,,1776408881210496144,0.003076716
1776408881218187934,0.061,,,,1776408881218187934,0.003845895
1776408881225879724,0.139,,,,1776408881225879724,0.004615074
1776408881233571514,0.476,,,,1776408881233571514,0.005384253
1776408881241263304,1.138,,,,1776408881241263304,0.006153432
1776408881248955094,1.354,,,,1776408881248955094,0.006922611
1776408881256646884,0.176,,,,1776408881256646884,0.00769179
1776408881264338674,-1.425,,,,1776408881264338674,0.008460969
1776408881272030464,-1.57,,,,1776408881272030464,0.009230148
1776408881279722254,-0.726,,,,1776408881279722254,0.009999327
1776408881287414044,-0.336,,,,1776408881287414044,0.010768506
1776408881295105834,-0.149,,,,1776408881295105834,0.011537685
1776408881302797624,0.176,,,,1776408881302797624,0.012306864
1776408881310489414,0.242,,,,1776408881310489414,0.013076043
1776408881318181204,0.169,,,,1776408881318181204,0.013845222
1776408881325872994,0.233,,,,1776408881325872994,0.014614401
1776408881333564784,0.274,,,,1776408881333564784,0.01538358
1776408881341256574,0.24,,,,1776408881341256574,0.016152759
1776408881348948364,0.242,,,,1776408881348948364,0.016921938
1776408881356640154,0.277,,,,1776408881356640154,0.017691117
1776408881364331944,0.296,,,,1776408881364331944,0.018460296
1776408881372023734,0.294,,,,1776408881372023734,0.019229475
1776408881379715524,0.296,,,,1776408881379715524,0.019998654
1776408881387407314,0.309,,,,1776408881387407314,0.020767833
1776408881395099104,0.316,,,,1776408881395099104,0.021537012
1776408881402790894,0.323,,,,1776408881402790894,0.022306191
1776408881410482684,0.333,,,,1776408881410482684,0.02307537
1776408881418174474,0.341,,,,1776408881418174474,0.023844549
1776408881425866264,0.345,,,,1776408881425866264,0.024613728
1776408881433558054,0.358,,,,1776408881433558054,0.025382907
1776408881441249844,0.385,,,,1776408881441249844,0.026152086
1776408881448941634,0.404,,,,1776408881448941634,0.026921265
1776408881456633424,0.397,,,,1776408881456633424,0.027690444
1776408881464325214,0.392,,,,1776408881464325214,0.028459623
1776408881472017004,0.39,,,,1776408881472017004,0.029228802
1776408881479708794,0.365,,,,1776408881479708794,0.029997981
1776408881487400584,0.338,,,,1776408881487400584,0.03076716
1776408881495092374,0.306,,,,1776408881495092374,0.031536339
1776408881502784164,0.257,,,,1776408881502784164,0.032305518
1776408881510475954,0.223,,,,1776408881510475954,0.033074697
1776408881518167744,0.196,,,,1776408881518167744,0.033843876
1776408881525859534,0.147,,,,1776408881525859534,0.034613055
1776408881533551324,0.098,,,,1776408881533551324,0.035382234
1776408881541243114,0.063,,,,1776408881541243114,0.036151413
1776408881548934904,0.034,,,,1776408881548934904,0.036920592
1776408881556626694,0.012,,,,1776408881556626694,0.037689771
1776408881564318484,0.004,,,,1776408881564318484,0.03845895
1776408881572010274,-0.002,,,,1776408881572010274,0.039228129
1776408881579702064,-0.014,,,,1776408881579702064,0.039997308
1776408881587393854,-0.019,,,,1776408881587393854,0.040766487
1776408881595085644,-0.009,,,,1776408881595085644,0.041535666
1776408881602777434,-0.002,,,,1776408881602777434,0.042304845
1776408881610469224,0.002,,,,1776408881610469224,0.043074024
1776408881618161014,0.004,,,,1776408881618161014,0.043843203
1776408881625852804,0.002,,,,1776408881625852804,0.044612382
1776408881633544594,0.002,,,,1776408881633544594,0.045381561
1776408881641236384,0.014,,,,1776408881641236384,0.04615074
1776408881648928174,0.019,,,,1776408881648928174,0.046919919
1776408881656619964,0.026,,,,1776408881656619964,0.047689098
1776408881664311754,0.041,,,,1776408881664311754,0.048458277
1776408881672003544,0.041,,,,1776408881672003544,0.049227456
1776408881679695334,0.031,,,,1776408881679695334,0.049996635
1776408881687387124,0.026,,,,1776408881687387124,0.050765814
1776408881695078914,0.022,,,,1776408881695078914,0.051534993
1776408881702770704,0.014,,,,1776408881702770704,0.052304172
1776408881710462494,0.024,,,,1776408881710462494,0.053073351
1776408881718154284,0.031,,,,1776408881718154284,0.05384253
1776408881725846074,0.017,,,,1776408881725846074,0.054611709
1776408881733537864,0.004,,,,1776408881733537864,0.055380888
1776408881741229666,0.004,76.0,,,1776408881741229666,0.0561500682
1776408881748921456,0.0,,,,1776408881748921456,0.0569192472
1776408881756613246,0.002,,,,1776408881756613246,0.0576884262
1776408881764305036,0.014,,,,1776408881764305036,0.0584576052
1776408881771996826,0.014,,,,1776408881771996826,0.0592267842
1776408881779688616,0.009,,791.0,,1776408881779688616,0.0599959632
1776408881787380406,0.014,,,,1776408881787380406,0.0607651422
1776408881795072196,0.024,,,,1776408881795072196,0.0615343212
1776408881802763986,0.022,,,,1776408881802763986,0.0623035002
1776408881810455776,0.026,,,,1776408881810455776,0.0630726792
1776408881818147566,0.039,,,,1776408881818147566,0.0638418582
1776408881825839356,0.031,,,,1776408881825839356,0.0646110372
1776408881833531146,0.017,,,,1776408881833531146,0.0653802162
1776408881841222936,0.026,,,,1776408881841222936,0.0661493952
1776408881848914726,0.036,,,,1776408881848914726,0.0669185742
1776408881856606516,0.034,,,,1776408881856606516,0.0676877532
1776408881864298306,0.041,,,,1776408881864298306,0.0684569322
1776408881871990096,0.051,,,,1776408881871990096,0.0692261112
1776408881879681886,0.049,,,,1776408881879681886,0.0699952902
1776408881887373676,0.049,,,,1776408881887373676,0.0707644692
1776408881895065466,0.058,,,,1776408881895065466,0.0715336482
1776408881902757256,0.068,,,,1776408881902757256,0.0723028272
1776408881910449046,0.09,,,,1776408881910449046,0.0730720062
1776408881918140836,0.107,,,,1776408881918140836,0.0738411852
